TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,MC,PANAL,PVEM,PES,M,PT,CQ,QI,MORENA_PT_PES,MORENA_PT,MORENA_PES,PT_PES,PRI_PVEM,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO
320,81,39,5,4,5,17,6,100,9,8,26,5,1,4,0,2,,1,,,0,13,326
325,102,45,3,5,4,14,5,90,7,5,28,4,1,0,0,1,,2,,,2,9,327
333,78,50,4,8,4,11,6,101,12,0,30,4,1,2,0,3,,0,,,0,11,325
314,68,50,3,4,7,10,9,116,5,3,18,6,0,1,0,2,,0,,,0,12,314
282,72,38,1,2,5,12,6,91,10,4,16,4,3,0,0,1,,1,,,0,21,287
337,96,53,6,5,9,9,5,92,6,9,27,2,2,0,0,2,,1,,,2,11,337
323,98,45,3,6,4,11,5,95,3,1,26,6,0,Ilegible,0,3,,3,,,1,12,323
336,82,38,5,5,9,17,0,112,13,9,26,5,2,0,0,2,,0,,,1,10,336
Sin dato,88,54,7,4,6,9,5,82,7,3,22,2,1,1,1,1,,4,,,Sin dato,9,306
336,78,62,7,10,4,15,6,87,8,6,22,4,1,1,0,3,,2,,,2,18,336
356,74,67,11,8,5,14,6,107,10,7,27,3,3,0,0,2,,3,,,Sin dato,8,356
Sin dato,74,46,7,5,3,15,4,100,6,4,17,2,2,0,0,2,,2,,,1,9,299
Sin dato,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,,Ilegible,,,Ilegible,Ilegible,Ilegible
387,103,51,8,5,7,15,2,120,7,23,11,1,3,0,0,4,,3,,,0,19,363
391,85,69,6,0,2,12,5,132,8,19,26,3,0,1,0,6,,3,,,1,10,391
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
373,89,54,13,4,1,18,7,99,5,21,28,3,5,0,1,5,,2,,,0,15,373
398,101,65,7,9,6,11,8,102,9,17,33,4,0,1,1,1,,2,,,2,19,398
361,77,41,6,4,4,10,10,124,13,23,24,3,2,0,1,1,,3,,,0,16,362
408,131,40,10,4,4,15,8,115,2,8,38,7,1,2,0,3,,2,,,0,18,408
358,98,34,5,4,6,14,8,97,8,35,26,7,1,2,0,2,,2,,,1,8,358
375,110,53,5,2,3,14,2,110,6,16,30,3,1,0,0,6,,1,,,0,13,Sin dato
Sin dato,77,49,8,4,4,15,8,118,9,22,30,5,0,1,2,2,,3,,,0,20,377
354,103,46,7,4,7,13,7,89,4,20,25,1,2,2,0,6,,3,,,0,15,354
364,84,57,2,2,2,11,7,115,10,20,20,6,0,1,0,2,,2,,,0,19,364
407,130,46,8,4,5,12,6,116,5,18,29,4,1,1,4,3,,3,,,0,11,407
0,85,46,6,5,4,11,1,123,5,19,30,6,1,0,6,3,,0,,,0,12,365
363,91,51,11,8,4,11,7,104,2,26,18,6,0,1,0,3,,1,,,0,19,363
338,75,59,8,6,4,10,5,90,6,22,28,3,0,6,0,3,,1,,,0,12,338
519,228,39,8,2,4,19,5,135,5,1,45,4,1,0,0,0,,3,,,0,21,520
491,222,27,5,3,6,14,6,133,4,4,45,8,Sin dato,Sin dato,Sin dato,Sin dato,,4,,,Sin dato,10,491
498,198,40,13,9,7,7,5,136,4,3,52,0,0,1,0,2,,5,,,2,14,498
506,211,30,6,7,8,19,4,142,5,6,37,5,0,2,0,0,,3,,,1,20,506
493,207,33,0,6,5,23,7,138,3,1,37,10,1,0,0,0,,4,,,1,16,493
492,187,27,4,5,7,17,11,138,5,8,52,0,0,3,0,3,,4,,,0,21,492
503,217,38,5,8,9,25,2,122,1,5,45,6,0,0,0,0,,3,,,0,17,503
514,217,29,7,6,3,19,6,141,5,6,42,2,0,1,0,0,,5,,,0,25,514
311,60,43,10,7,4,10,9,107,7,14,12,5,1,0,2,2,,0,,,2,16,311
305,84,39,11,13,5,7,10,73,7,12,11,4,1,0,0,4,,0,,,0,24,305
256,63,25,3,2,9,5,2,84,5,10,31,6,Sin dato,Sin dato,Sin dato,1,,1,,,Sin dato,9,256
Sin dato,78,26,2,3,3,4,5,84,6,10,38,2,0,0,0,0,,2,,,1,11,272
Sin dato,75,25,1,7,5,2,4,101,5,6,24,4,0,0,0,0,,0,,,3,9,269
274,77,30,1,9,1,10,3,97,4,8,20,2,0,1,0,0,,1,,,0,10,274
378,95,35,4,2,10,13,5,134,7,5,49,10,0,0,0,2,,0,,,0,7,379
247,56,22,1,9,2,8,9,87,4,18,16,6,0,1,0,0,,0,,,1,9,Sin dato
247,57,24,2,2,5,10,2,80,12,19,17,5,0,2,0,2,,0,,,0,9,248
196,42,19,3,6,3,4,3,69,4,22,10,2,Sin dato,1,Sin dato,Sin dato,,2,,,Ilegible,6,196
191,49,Sin dato,5,5,3,5,6,59,5,28,10,4,2,1,Sin dato,Sin dato,,2,,,Sin dato,7,191
217,54,21,3,2,2,7,2,75,2,19,15,4,0,0,1,1,,2,,,0,7,217
195,41,29,1,4,6,6,2,55,8,22,11,3,0,1,0,1,,0,,,0,5,195
216,51,17,4,2,3,7,6,70,5,8,17,9,1,0,0,2,,3,,,0,11,216
229,56,19,7,2,4,4,5,75,8,15,15,5,1,1,1,1,,1,,,Sin dato,13,229
428,145,26,3,10,7,21,5,135,6,8,44,4,Sin dato,Sin dato,Sin dato,Sin dato,,1,,,Sin dato,13,428
Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,,Ilegible,,,Ilegible,Ilegible,Ilegible
Sin dato,60,21,7,Sin dato,1,8,5,76,2,3,21,1,Sin dato,1,Sin dato,1,,1,,,Sin dato,11,219
208,43,18,4,3,1,11,4,71,3,18,16,2,0,1,1,0,,0,,,0,12,208
173,47,22,4,1,1,2,3,60,3,12,12,1,0,0,1,2,,0,,,0,3,173
207,51,27,2,5,1,6,2,71,3,15,9,2,0,0,0,1,,3,,,Sin dato,9,207
Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,,Ilegible,,,Ilegible,Ilegible,Ilegible
248,43,24,11,4,8,14,3,94,5,14,8,2,2,1,0,1,,0,,,0,14,248
218,44,26,4,2,5,4,5,55,5,41,9,4,2,1,1,0,,1,,,0,9,218
196,35,23,5,1,3,5,1,51,8,36,8,7,0,1,0,1,,1,,,1,10,Ilegible
353,63,33,9,6,3,9,10,136,8,38,20,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,Sin dato,,,Sin dato,16,351
0,68,40,5,3,2,13,3,98,11,44,18,8,1,1,7,4,,0,,,0,24,347
Sin dato,44,27,5,5,6,8,3,94,6,83,24,4,0,1,1,4,,0,,,0,Ilegible,634
282,71,18,5,2,3,7,8,100,3,29,12,9,0,0,0,2,,0,,,1,12,282
261,64,18,3,6,0,11,3,81,5,39,15,1,0,0,1,3,,0,,,0,11,261
296,72,25,3,1,3,4,6,110,4,36,18,5,1,0,0,0,,1,,,0,12,301
325,90,41,5,3,4,8,2,78,2,70,6,3,0,0,0,2,,0,,,0,11,325
242,52,20,2,4,5,9,7,72,9,11,21,7,Sin dato,Sin dato,1,Sin dato,,Sin dato,,,Sin dato,22,242
,,,,,,,,,,,,,,,,,,,,,,,
Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,Sin dato,,,Sin dato,Sin dato,Sin dato
176,28,17,0,2,1,2,3,42,3,69,9,0,0,0,0,0,,0,,,0,6,176
,,,,,,,,,,,,,,,,,,,,,,,
Sin dato,88,32,6,3,6,12,3,65,11,56,17,3,Sin dato,1,Sin dato,2,,2,,,Sin dato,13,320
312,90,41,1,5,5,5,5,72,6,35,19,1,1,1,1,0,,2,,,0,22,312
,,,,,,,,,,,,,,,,,,,,,,,
294,94,22,2,6,4,10,6,102,3,11,19,0,0,0,0,1,,2,,,0,8,274
267,64,21,6,2,2,14,6,92,4,9,23,6,0,1,0,0,,1,,,3,14,268
267,65,25,4,6,2,11,2,105,6,6,25,2,0,1,0,1,,2,,,0,4,267
556,403,49,5,6,6,5,5,47,3,3,12,0,0,1,0,0,0,0,0,0,0,6,556
Sin dato,381,52,1,1,2,9,5,65,3,4,27,1,0,0,0,0,0,0,5,0,1,13,570
557,380,59,7,4,2,6,3,41,1,3,24,3,0,1,0,1,6,2,1,0,1,12,557
341,84,34,8,10,3,8,8,123,8,10,10,6,0,2,0,2,4,2,0,0,0,19,341
322,89,38,5,8,5,8,5,113,7,8,11,7,1,5,0,3,0,0,0,0,2,6,322
309,81,28,3,6,1,12,5,111,4,9,14,0,1,1,1,1,7,1,0,1,14,9,309
313,74,32,6,8,7,8,8,103,10,11,16,5,2,3,1,2,5,0,1,0,0,11,313
331,89,31,2,7,7,6,4,121,10,10,18,2,2,1,0,1,4,0,1,0,0,15,331
Sin dato,93,24,6,6,5,5,3,110,5,9,15,5,0,3,0,2,2,0,0,0,0,11,304
326,74,36,6,7,3,13,6,118,7,11,15,3,0,4,0,1,4,1,0,1,1,15,326
331,80,38,12,1,4,11,6,123,6,11,17,4,0,1,0,1,2,0,0,0,Sin dato,14,331
339,87,32,7,12,5,8,4,130,4,8,13,5,1,2,1,3,2,1,0,0,0,14,338
321,78,31,4,10,4,6,11,117,8,18,11,4,1,1,0,1,4,0,0,1,Sin dato,9,319
328,76,38,8,4,4,11,10,123,12,7,16,4,0,0,0,2,3,0,1,0,0,9,328
321,87,40,6,11,6,9,5,96,9,8,20,1,2,1,0,3,2,0,0,0,0,15,321
Sin dato,96,27,3,7,3,2,6,108,5,4,18,7,0,2,0,0,2,1,0,0,13,0,302
355,102,33,8,6,4,9,6,126,9,11,15,5,0,0,0,2,5,0,1,0,0,13,355
Ilegible,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Ilegible
,,,,,,,,,,,,,,,,,,,,,,,
311,78,32,6,8,2,9,6,91,15,15,20,3,0,2,0,3,4,0,0,0,0,17,311
Sin dato,106,29,5,11,0,9,12,99,12,20,23,6,1,1,0,1,2,1,1,0,0,17,356
339,109,23,6,9,2,8,9,103,6,13,19,10,0,2,0,1,2,2,0,1,0,16,339
386,96,40,12,9,6,10,15,129,10,10,17,4,1,1,4,0,5,1,0,0,0,16,386
350,111,44,5,7,6,8,8,113,5,6,17,4,2,2,0,1,0,0,2,0,0,9,350
Ilegible,79,40,4,6,9,9,7,118,8,12,25,2,1,2,1,3,3,0,0,0,0,18,347
Sin dato,99,44,3,5,13,10,7,99,6,4,31,5,1,0,0,0,5,0,0,0,0,6,338
335,89,44,6,9,8,10,4,105,4,4,28,4,0,0,0,1,5,1,0,0,0,13,335
443,152,48,7,9,9,5,12,119,8,8,29,2,0,0,0,4,0,1,0,8,0,22,443
429,158,48,8,9,5,7,8,19,4,13,25,5,0,2,0,1,5,3,0,0,0,19,429
476,163,52,5,9,12,5,14,115,10,10,34,5,1,1,0,6,3,1,0,0,0,30,476
467,151,58,7,10,9,10,6,127,6,4,39,6,1,1,7,3,2,0,1,0,1,18,467
Sin dato,170,44,2,6,7,10,10,119,8,10,30,9,1,1,0,4,8,1,0,0,1,31,472
476,133,44,9,12,8,11,8,152,16,7,45,6,0,1,0,3,6,0,0,0,0,15,476
458,151,40,9,5,9,13,8,143,3,14,30,9,2,1,0,2,6,0,0,0,0,13,458
433,137,38,2,3,9,10,10,131,8,12,40,13,0,2,0,1,3,0,0,0,0,14,433
451,140,36,8,7,11,7,9,144,5,6,41,6,3,2,0,1,3,1,1,1,0,20,452
,,,,,,,,,,,,,,,,,,,,,,,
499,159,44,14,10,8,20,12,143,7,7,33,3,0,1,0,1,1,0,1,0,0,15,479
450,141,37,3,7,7,15,13,152,7,8,28,4,0,1,0,2,4,0,1,0,0,20,450
469,143,41,8,9,9,15,8,156,5,7,32,9,0,0,0,0,7,0,2,0,1,17,469
507,158,48,5,10,8,9,6,168,11,8,45,6,Sin dato,2,Sin dato,2,5,1,Sin dato,Sin dato,2,13,507
367,98,69,9,3,9,10,5,112,10,5,15,2,0,0,0,2,4,0,0,1,0,13,367
382,107,51,6,7,14,11,3,117,8,10,29,4,0,0,0,2,3,1,0,0,0,9,Sin dato
354,105,69,4,4,10,7,5,94,1,3,25,0,1,1,0,3,6,1,0,0,2,13,354
361,138,50,2,7,9,7,3,94,2,9,12,1,1,1,0,3,2,1,1,0,0,15,361
298,81,39,3,10,4,8,5,100,5,4,12,5,1,1,0,0,4,0,1,0,0,15,298
310,83,32,2,8,4,9,6,101,2,12,23,5,0,0,0,5,5,1,1,0,0,11,310
Sin dato,98,42,4,4,8,8,5,95,5,9,24,2,0,0,0,2,1,0,1,0,0,10,318
320,84,51,3,4,23,8,11,91,9,6,17,3,2,1,0,0,2,0,1,0,1,13,320
401,111,64,6,8,9,3,8,124,7,15,25,1,0,0,0,3,3,1,1,0,3,9,401
393,85,51,8,7,8,7,12,131,4,21,29,4,1,1,0,1,6,0,0,0,0,17,393
401,89,43,5,10,6,13,10,123,12,14,42,5,0,0,0,2,3,1,0,0,1,22,401
404,134,62,5,6,10,10,9,89,10,12,19,2,1,1,0,4,4,2,0,0,1,23,404
421,159,39,4,8,9,4,3,99,8,17,34,3,0,1,0,5,4,1,0,0,Sin dato,23,421
303,94,41,4,7,2,10,3,94,6,5,19,2,2,0,0,0,3,0,0,0,0,11,303
325,97,31,5,7,9,11,3,104,10,3,25,2,0,1,0,0,2,0,0,0,0,14,324
493,156,87,8,9,5,13,8,131,4,7,29,6,0,0,0,2,7,0,0,Sin dato,Sin dato,23,495
512,150,77,11,10,10,8,9,161,8,10,22,5,1,3,1,1,0,0,0,0,0,25,512
394,135,41,4,6,3,16,6,128,4,2,21,4,1,3,0,3,3,3,0,0,0,15,398
369,114,44,2,6,7,2,9,117,11,17,2,0,1,0,5,2,2,0,0,1,0,27,369
601,138,41,6,11,6,11,7,120,11,9,17,4,0,0,0,2,5,1,3,0,0,13,387
375,120,51,9,7,6,7,7,121,5,5,17,3,0,0,0,1,5,0,0,0,0,11,375
Sin dato,111,39,10,11,5,9,9,145,11,10,20,4,2,2,0,2,6,0,3,0,0,17,416
408,131,29,10,8,6,15,8,124,7,8,29,4,0,3,0,1,4,1,0,0,0,20,408
417,119,40,10,12,8,7,9,145,6,6,31,6,0,1,0,1,3,0,1,0,2,13,420
426,128,39,5,7,11,11,14,127,8,8,36,5,1,0,0,0,1,0,1,0,1,23,426
2,144,34,8,9,3,19,10,145,8,3,29,0,5,1,0,2,4,0,1,0,0,12,437
0,145,48,2,6,5,5,5,108,7,8,28,7,1,3,0,0,3,1,0,0,0,11,393
Sin dato,130,57,5,6,7,12,11,123,6,9,24,4,0,0,0,0,3,1,2,0,3,13,416
359,100,53,8,4,7,8,5,97,10,9,30,2,2,2,0,1,3,0,0,0,0,18,359
358,107,49,4,9,15,7,5,99,6,5,28,7,0,1,0,2,0,1,0,0,1,12,358
361,115,37,7,6,9,7,10,101,7,12,24,2,0,0,0,2,3,2,0,0,0,17,361
419,150,25,8,4,7,7,10,131,9,22,25,4,1,0,0,0,0,0,0,0,0,16,419
445,122,32,2,9,16,7,12,149,8,29,31,2,2,1,0,3,2,1,1,0,1,16,446
433,143,46,4,5,6,12,4,137,8,13,28,3,0,0,0,2,6,3,0,0,0,13,433
409,114,25,6,9,9,9,12,132,8,21,33,0,0,1,0,1,0,2,0,1,0,16,409
424,121,39,4,5,8,7,8,137,15,23,32,5,0,1,0,2,4,0,0,0,0,13,424
439,140,45,7,8,7,4,5,130,6,23,35,2,0,0,0,0,5,1,0,0,0,20,439
399,124,35,5,2,4,6,8,127,9,16,32,4,1,Sin dato,Sin dato,1,10,Sin dato,Sin dato,Sin dato,Sin dato,15,399
370,140,44,8,11,3,6,6,91,5,5,25,6,0,2,0,0,6,1,0,0,0,11,370
410,158,44,4,13,7,10,7,103,3,10,27,2,Sin dato,Sin dato,Sin dato,1,1,1,Sin dato,Sin dato,Sin dato,19,410
283,84,24,7,3,6,4,7,94,3,5,23,2,1,1,0,1,4,0,1,0,0,10,283
266,85,38,3,4,1,9,8,73,5,2,23,3,0,0,0,0,4,0,0,0,0,8,266
Sin dato,63,29,3,1,5,5,0,98,5,1,25,7,0,3,0,1,6,0,0,0,0,14,267
225,65,39,9,3,5,13,4,3,8,3,27,22,2,0,0,2,0,1,0,2,0,17,225
272,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato
,,,,,,,,,,,,,,,,,,,,,,,
325,85,27,3,7,2,4,11,120,11,6,25,4,0,0,0,0,3,0,2,0,1,14,325
320,82,38,4,4,5,8,6,121,5,6,24,0,3,1,0,0,3,0,0,0,0,10,320
313,73,33,7,6,6,8,6,118,6,4,19,4,2,4,Sin dato,Sin dato,3,Sin dato,Sin dato,Sin dato,Sin dato,14,313
328,85,35,6,8,3,7,7,117,5,4,26,5,1,1,0,1,6,0,0,0,0,12,329
349,87,36,6,4,7,7,5,132,4,8,23,8,0,3,7,1,3,0,0,0,0,9,350
336,92,34,6,5,2,9,3,122,4,8,30,4,0,0,0,1,3,0,2,0,0,11,336
340,93,38,8,3,6,9,3,123,2,5,27,5,0,0,0,2,3,0,1,0,0,12,340
338,89,36,6,1,8,5,5,127,4,6,21,4,1,1,0,0,6,0,6,0,3,9,338
373,104,39,7,8,6,12,4,145,7,6,Sin dato,7,Sin dato,8,Sin dato,Sin dato,4,2,Sin dato,Sin dato,Sin dato,15,373
367,140,34,7,5,3,6,8,119,8,5,20,2,0,2,0,0,3,0,0,0,1,4,367
Sin dato,83,23,4,5,7,5,13,124,5,6,15,5,0,0,0,0,3,1,1,0,2,11,313
332,81,28,4,5,3,12,10,125,6,6,Ilegible,5,1,0,0,1,3,1,1,0,0,14,332
313,77,25,2,5,13,13,4,116,7,5,22,6,0,1,0,1,1,0,0,0,0,15,313
347,70,26,4,6,7,14,14,156,2,8,24,5,Sin dato,Sin dato,Sin dato,1,1,1,Sin dato,Sin dato,1,7,347
186,51,19,2,3,5,6,3,68,7,3,13,2,0,1,0,0,1,0,0,0,0,0,186
366,85,44,4,3,4,9,6,153,8,10,22,6,0,0,0,0,4,0,0,2,0,8,368
347,79,38,3,8,7,7,11,132,10,6,25,5,2,0,0,1,1,1,0,0,1,10,347
241,57,16,2,7,3,6,4,104,4,4,15,5,1,0,0,0,1,0,1,0,0,11,241
371,96,40,4,6,4,8,3,145,13,6,20,6,1,3,0,0,2,0,0,0,0,14,371
304,83,32,2,3,7,12,6,110,8,5,20,3,0,0,0,0,1,1,1,0,0,10,304
296,98,34,4,6,1,5,5,91,6,9,24,1,0,1,0,0,2,1,0,0,0,8,296
383,137,23,2,3,9,4,8,122,7,5,26,8,0,3,0,3,4,1,0,0,0,18,383
392,106,36,4,6,3,8,7,152,10,4,30,5,0,1,0,2,2,1,0,0,1,14,392
354,115,29,6,4,7,17,9,121,7,11,0,7,1,0,0,1,0,1,0,0,0,18,354
402,113,41,4,5,8,9,5,157,7,5,27,5,0,1,0,1,4,0,0,0,0,10,402
421,109,37,7,7,5,14,10,165,3,7,29,5,0,0,0,2,5,1,0,0,0,13,419
433,108,25,5,12,10,21,13,165,5,9,35,6,0,3,0,2,0,0,0,0,2,12,433
Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato
410,114,25,6,9,7,13,10,149,9,7,29,15,0,3,0,1,2,0,0,0,0,11,410
442,113,25,12,9,11,6,9,188,8,5,32,4,0,0,0,1,6,1,0,0,0,12,442
428,124,28,0,9,5,11,7,180,6,8,29,0,0,2,0,0,6,0,0,0,0,10,425
407,134,31,7,6,5,8,10,133,12,9,31,3,1,0,0,0,4,1,0,0,0,12,407
443,126,32,6,16,7,20,15,133,8,10,44,7,3,2,0,1,4,0,0,0,0,9,443
341,119,32,8,5,4,8,8,109,5,5,22,7,1,2,Sin dato,Sin dato,1,Sin dato,Sin dato,Sin dato,1,4,341
337,97,38,4,4,4,11,4,109,10,14,22,1,2,0,0,1,7,0,0,0,0,10,337
Sin dato,95,36,7,10,7,15,8,109,11,3,13,7,1,2,0,1,5,1,0,0,Ilegible,11,342
314,97,18,3,6,4,8,5,101,6,5,35,7,2,0,0,3,4,1,1,0,0,8,314
311,98,32,6,7,4,6,0,101,2,13,21,3,2,0,8,1,0,0,0,0,0,5,311
353,117,19,3,4,8,12,11,111,7,6,29,3,1,0,0,1,2,0,0,0,2,17,353
206,47,22,2,4,3,5,8,83,2,5,13,4,0,0,0,2,0,0,0,0,0,6,206
391,118,27,5,3,5,16,10,147,6,1,27,4,1,0,0,0,5,2,1,0,0,13,391
312,95,21,4,7,2,12,5,113,7,7,21,5,1,0,0,0,1,0,0,0,0,11,312
354,119,25,6,4,6,7,6,116,4,15,29,3,0,0,1,0,5,0,1,0,0,9,356
355,106,39,2,7,5,14,5,109,12,7,30,4,Sin dato,1,Sin dato,Sin dato,2,Sin dato,Sin dato,Sin dato,1,11,355
503,117,51,15,8,14,16,18,171,8,10,41,9,2,1,0,1,7,0,0,0,2,12,503
365,124,24,6,10,3,10,8,121,6,11,23,2,1,0,0,0,3,0,0,0,1,12,365
444,133,47,4,8,8,8,10,162,7,9,24,2,0,0,0,2,3,0,0,0,1,16,444
358,93,30,8,4,6,5,10,141,3,10,27,5,1,1,0,1,2,0,0,0,1,10,358
410,100,27,6,6,10,11,11,164,13,6,29,7,3,1,0,1,3,0,0,1,1,10,410
434,127,34,9,14,6,17,5,148,7,29,5,11,1,0,0,0,4,0,1,0,0,16,434
361,106,18,4,11,7,8,8,148,6,6,19,3,3,0,0,3,1,0,1,0,1,8,361
Sin dato,101,26,4,3,14,17,10,135,9,6,21,5,1,2,0,2,0,0,0,0,0,8,364
352,95,24,1,9,7,8,9,143,6,3,31,4,0,1,0,1,1,1,0,0,0,10,354
343,83,23,2,5,4,10,6,154,8,5,29,4,0,0,0,0,0,0,0,0,0,10,343
,,,,,,,,,,,,,,,,,,,,,,,
309,86,17,1,6,8,4,13,135,5,4,12,2,3,0,0,0,3,1,0,0,0,8,309
333,99,20,4,8,5,6,5,134,7,7,24,3,0,1,0,0,4,0,0,0,0,5,333
351,85,23,6,6,5,12,12,143,7,10,24,4,1,1,0,0,4,0,0,0,0,8,351
,,,,,,,,,,,,,,,,,,,,,,,
307,88,28,4,3,6,6,5,124,10,7,10,4,0,0,0,0,5,1,0,0,0,6,307
288,85,24,4,4,5,6,6,108,9,4,16,3,1,2,0,0,4,1,0,0,0,6,288
348,93,24,1,4,5,5,10,139,4,5,31,4,0,3,1,0,4,0,0,0,1,11,Sin dato
344,119,15,6,3,3,8,6,131,10,2,17,2,3,2,0,1,5,1,2,0,0,8,344
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
567,174,Ilegible,18,8,10,18,1,198,10,10,20,8,6,2,0,0,6,4,2,0,Sin dato,22,567
292,82,28,8,5,6,10,5,96,11,7,9,4,0,5,0,1,3,0,1,0,0,11,292
307,88,21,5,5,5,11,5,102,10,9,11,4,1,1,0,1,6,2,0,0,0,10,297
395,129,51,10,5,3,2,7,127,8,5,22,3,1,1,1,4,2,1,1,0,0,12,395
435,142,53,8,8,5,15,6,137,11,6,27,2,0,0,0,3,0,0,2,0,1,15,440
398,127,50,4,9,7,8,4,115,19,5,27,2,1,0,0,0,3,0,0,0,2,15,398
410,94,39,10,6,4,11,7,148,10,28,21,6,0,3,0,1,2,0,0,0,0,19,410
Sin dato,79,48,2,4,3,10,12,137,13,12,21,4,3,2,0,0,3,0,0,0,0,15,368
359,85,26,6,5,5,5,6,159,14,4,24,3,2,1,0,1,5,1,0,0,0,7,359
380,94,39,5,7,5,7,8,135,7,4,25,1,2,2,1,1,0,9,1,0,0,27,380
Sin dato,108,35,8,1,3,13,10,124,14,2,20,6,Sin dato,3,Sin dato,Sin dato,5,3,2,1,1,13,Sin dato
320,100,40,8,15,4,7,6,98,6,10,20,3,0,1,0,0,,0,,,1,11,331
347,100,41,9,9,8,9,8,100,3,10,24,6,0,1,0,0,,0,,,0,19,347
Sin dato,107,32,8,9,4,9,3,103,3,14,21,4,1,0,0,0,,0,,,0,12,330
323,115,34,4,9,3,4,4,92,7,2,8,6,0,2,0,5,,3,,,1,14,313
341,131,24,6,5,2,8,5,95,7,6,23,1,1,1,0,2,,3,,,1,20,341
Sin dato,138,37,7,3,3,5,7,84,2,3,18,8,0,0,0,1,,6,,,0,21,343
347,141,22,5,6,6,8,1,100,5,3,14,5,0,1,0,2,,3,,,0,19,Sin dato
356,152,18,7,7,5,4,4,102,5,3,24,4,Sin dato,2,Sin dato,2,,4,,,1,12,356
322,115,24,8,6,6,7,5,88,7,5,17,5,2,2,2,4,,4,,,0,15,322
314,136,Ilegible,6,6,2,8,7,88,3,4,8,8,1,0,0,1,,5,,,0,11,314
328,122,29,4,10,3,7,3,92,8,6,22,4,1,2,1,2,,2,,,0,10,328
,,,,,,,,,,,,,,,,,,,,,,,
305,115,30,11,5,5,7,5,87,3,3,17,6,1,0,0,0,,1,,,0,9,305
297,107,35,11,7,6,6,4,90,6,4,2,4,2,1,0,0,,0,,,0,13,298
327,129,30,9,2,7,5,2,91,3,4,16,7,0,0,2,0,,2,,,0,18,327
305,125,27,8,5,4,8,5,77,6,5,18,4,0,1,0,3,,4,,,0,5,305
327,103,52,5,4,9,3,0,91,3,6,9,7,7,2,0,6,,6,,,0,17,327
350,133,51,8,12,7,4,5,77,6,8,19,4,0,2,0,2,,4,,,0,8,350
,,,,,,,,,,,,,,,,,,,,,,,
334,143,30,9,3,6,5,3,87,9,6,13,4,0,0,2,0,,0,,,0,11,334
Sin dato,123,26,12,5,7,3,5,91,6,9,7,2,0,0,0,1,,6,,,0,7,Sin dato
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
255,63,44,3,8,4,7,4,83,5,6,6,Sin dato,Sin dato,1,3,3,,3,,,Sin dato,12,255
286,90,47,4,8,10,5,3,74,1,8,8,3,5,1,0,1,,3,,,0,13,286
288,86,51,7,8,8,3,5,86,5,4,3,3,1,3,0,3,,1,,,0,11,288
269,83,42,8,5,5,9,2,62,14,15,13,3,Sin dato,Sin dato,Sin dato,2,,4,,,Sin dato,12,279
263,68,33,11,4,3,10,4,73,7,10,8,1,2,4,1,3,,5,,,0,16,263
0,70,40,6,11,4,10,5,76,4,8,7,4,0,0,0,1,,2,,,0,12,260
271,95,43,4,8,1,0,3,76,5,7,10,3,0,1,0,2,,4,,,0,9,271
