ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,MC,NA,PVEM,ES,MORENA,PT,CQ,QI,MORENA_PT_ES,MORENA_PT,MORENA_ES,PT_ES,PRI_PVEM,C_COMUN_PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,C_COMUN_PAN_PRD,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
22,QUERÉTARO,12,EL MARQUÉS,10,EL MARQUÉS,763,C,2,0,C02,87,97,10,2,1,8,3,53,4,0,4,2,0,0,0,3,,,,,,,,17,,,,,291,,14,305,535,Acta casilla,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,266,B,1,0,B,106,87,6,15,2,11,2,75,8,2,3,4,1,1,0,1,,,,,2,,,,,,,13,339,1,22,362,731,Acta casilla,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,266,C,1,0,C01,122,74,3,9,4,12,6,71,3,0,14,2,1,1,0,5,,,,,5,,,,,,,16,348,0,0,348,730,Acta casilla,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,266,C,2,0,C02,95,84,4,17,3,10,8,61,11,4,8,1,0,2,0,4,,,,,3,,,,,,,10,325,0,16,341,730,Acta casilla,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,266,C,3,0,C03,120,88,4,13,5,13,8,71,3,6,0,1,5,2,1,3,,,,,0,,,,,,,11,354,0,12,366,730,Acta casilla,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,266,C,4,0,C04,88,68,5,7,2,10,7,87,7,2,4,3,0,1,0,2,,,,,1,,,,,,,14,308,0,14,322,730,Grupo de recuento,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,267,B,1,0,B,246,64,4,7,3,11,2,55,10,0,5,0,2,0,0,0,,,,,2,,,,,,,8,419,0,9,428,687,Acta casilla,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,267,C,1,0,C01,179,69,1,7,4,11,5,67,10,1,3,2,0,1,0,6,,,,,3,,,,,,,17,386,0,10,396,686,Grupo de recuento,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,267,C,2,0,C02,151,85,8,12,1,8,8,84,7,0,5,2,0,0,0,4,,,,,4,,,,,,,15,394,0,9,403,686,Acta casilla,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,267,C,3,0,C03,188,62,0,2,2,10,7,73,11,3,7,1,2,1,0,3,,,,,1,,,,,,,0,373,0,17,390,686,Acta casilla,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,268,B,1,0,B,287,42,1,6,1,9,2,59,2,2,4,0,0,0,2,0,,,,,2,,,,,,,27,446,0,8,454,599,Acta casilla,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,268,C,1,0,C01,291,48,6,10,2,1,2,43,1,2,3,0,0,0,0,0,,,,,5,,,,,,,10,424,1,14,439,598,Acta casilla,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,268,C,2,0,C02,272,46,3,6,3,7,3,62,1,1,4,1,0,1,0,0,,,,,2,,,,,,,13,425,0,7,432,598,Acta casilla,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,268,C,3,0,C03,266,51,6,3,2,7,4,47,1,5,7,1,0,0,0,1,,,,,3,,,,,,,16,420,0,10,430,598,Acta casilla,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,516,B,1,0,B,98,56,8,5,2,9,3,74,8,11,2,0,0,0,0,1,,,,,0,,,,,,,11,288,0,14,302,656,Acta casilla,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,516,C,1,0,C01,63,65,6,5,6,8,1,62,12,10,19,0,2,0,0,0,,,,,0,,,,,,,0,259,1,19,279,656,Acta casilla,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,516,C,2,0,C02,68,61,7,7,4,6,1,43,3,5,3,0,1,0,0,3,,,,,3,,,,,,,9,224,0,20,244,656,Acta casilla,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,517,B,1,0,B,158,55,6,4,6,6,8,48,7,2,3,3,2,0,0,3,,,,,1,,,,,,,2,314,0,17,331,621,Grupo de recuento,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,517,C,1,0,C01,168,29,6,5,4,10,9,52,9,5,3,1,0,4,0,0,,,,,4,,,,,,,8,317,0,19,336,621,Grupo de recuento,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,517,C,2,0,C02,141,42,4,5,5,14,4,30,8,5,5,1,1,0,0,5,,,,,1,,,,,,,4,275,0,16,291,621,Grupo de recuento,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,517,E,1,0,E01,110,70,7,12,7,6,7,74,15,7,2,5,0,0,0,1,,,,,3,,,,,,,15,341,0,24,365,547,Grupo de recuento,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,517,E,1,1,E01C01,123,50,4,18,5,17,10,81,11,8,2,2,0,2,0,2,,,,,1,,,,,,,16,352,0,21,373,547,Grupo de recuento,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,518,B,1,0,B,106,30,12,7,7,7,8,102,11,2,6,4,0,0,0,0,,,,,0,,,,,,,10,312,0,21,333,632,Acta casilla,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,518,C,1,0,C01,110,28,7,8,4,12,17,101,16,1,9,4,1,5,0,3,,,,,1,,,,,,,19,346,1,14,361,632,Acta casilla,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,518,C,2,0,C02,78,31,6,15,9,4,7,119,9,4,9,5,0,2,0,0,,,,,1,,,,,,,20,319,0,23,342,631,Acta casilla,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,518,C,3,0,C03,96,35,17,7,4,12,9,107,12,3,7,5,1,2,0,2,,,,,0,,,,,,,10,329,0,10,339,631,Acta casilla,,,
22,QUERÉTARO,13,QUERÉTARO,14,QUERÉTARO,518,C,4,0,C04,98,48,8,4,1,4,6,110,14,5,8,3,0,1,0,2,,,,,1,,,,,,,8,321,0,13,334,631,Acta casilla,,,
